Regret,NumWaitingJob,STime_A,STime_B,STime_A_VS_B,STime_A_VS_B_Diff,PTime_A,PTime_B,PTime_A_VS_B,PTime_A_VS_B_Diff,CompTime_A,CompTime_B,CompTime_A_VS_B,CompTime_A_VS_B_Diff,Start_A,Start_B,Start_A_VS_B,Start_A_VS_B_Diff,Tardy_A,Tardy_B,Tardy_A_VS_B,Tardy_A_VS_B_Diff
0,17,0,0,=,0,39,46,<,-7,39,46,<,-7,0,0,=,0,0,0,=,0
15,17,0,0,=,0,46,39,>,7,46,39,>,7,0,0,=,0,0,0,=,0
0,17,0,0,=,0,39,46,<,-7,39,46,<,-7,0,0,=,0,0,0,=,0
56,17,0,0,=,0,46,39,>,7,46,39,>,7,0,0,=,0,0,0,=,0
0,17,0,0,=,0,41,37,>,4,41,37,>,4,0,0,=,0,0,0,=,0
113,17,0,0,=,0,37,41,<,-4,37,41,<,-4,0,0,=,0,0,0,=,0
0,17,0,0,=,0,41,50,<,-9,41,50,<,-9,0,0,=,0,0,0,=,0
78,17,0,0,=,0,50,41,>,9,50,41,>,9,0,0,=,0,0,0,=,0
0,17,0,0,=,0,33,40,<,-7,33,40,<,-7,0,0,=,0,0,0,=,0
92,17,0,0,=,0,40,33,>,7,40,33,>,7,0,0,=,0,0,0,=,0
0,17,0,0,=,0,33,43,<,-10,33,43,<,-10,0,0,=,0,0,0,=,0
67,17,0,0,=,0,43,33,>,10,43,33,>,10,0,0,=,0,0,0,=,0
0,17,0,0,=,0,43,45,<,-2,43,45,<,-2,0,0,=,0,0,0,=,0
24,17,0,0,=,0,45,43,>,2,45,43,>,2,0,0,=,0,0,0,=,0
0,17,0,0,=,0,43,38,>,5,43,38,>,5,0,0,=,0,0,0,=,0
53,17,0,0,=,0,38,43,<,-5,38,43,<,-5,0,0,=,0,0,0,=,0
0,17,0,0,=,0,39,44,<,-5,39,44,<,-5,0,0,=,0,0,0,=,0
8,17,0,0,=,0,44,39,>,5,44,39,>,5,0,0,=,0,0,0,=,0
0,17,0,0,=,0,39,54,<,-15,39,54,<,-15,0,0,=,0,0,0,=,0
49,17,0,0,=,0,54,39,>,15,54,39,>,15,0,0,=,0,0,0,=,0
0,17,0,0,=,0,33,57,<,-24,33,57,<,-24,0,0,=,0,0,0,=,0
